schema_version,rejection_id,platform_id,source_url,source_revision,source_path,reason,first_seen_at,last_seen_at,adapter_version
1,rejection:v1:028013be391d14adc3f1d7347b3228f7efd864b1f7dbafe7d60e0c63f02e49b4,clawhub,https://clawhub.ai/api/v1/skills/ucap-sensitive-check,version:1.0.1;catalog-updated:1784845197330,ucap-sensitive-check,rejected: hosted ZIP rejected: extracted archive contains no regular SKILL.md,2026-07-24T03:52:16.774Z,2026-07-24T03:52:16.774Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:125a6fd78aa193e458ea662542b62b53fcc02702435fdae32406f58302dc9aa5,clawhub,https://clawhub.ai/api/v1/skills/catalyst-search-skill,version:0.1.0;catalog-updated:1784825844831,catalyst-search-skill,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-23T19:54:57.514Z,2026-07-23T19:54:57.514Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:2210ded3ef8b0d7b727d221d4654ce728e45b9c74ec580b86f66709224005be1,clawhub,https://clawhub.ai/api/v1/skills/health-metrics,version:0.1.0;catalog-updated:1784705897025,health-metrics,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-22T08:54:07.285Z,2026-07-22T08:54:07.285Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:314f929e7b3414b4af8edad9cc3e3c37622c2071f92fc791dc05f1aad75b181a,clawhub,https://clawhub.ai/api/v1/skills/synomega-skill,version:0.1.0;catalog-updated:1784901399460,synomega-skill,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-24T14:20:42.686Z,2026-07-24T14:20:42.686Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:38bac4dd5650dbe34c016d845d3c67d0108f050fa5ff0f6eed4041fbddb66129,clawhub,https://clawhub.ai/api/v1/skills/keynote-content-producer,version:0.1.0;catalog-updated:1785093005954,keynote-content-producer,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-26T19:43:53.935Z,2026-07-26T19:43:53.935Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:3e98c4aa148d7819fb19786a391223ff38e4b733d4fe31279d8902afe07a25e0,clawhub,https://clawhub.ai/api/v1/skills/llm-workflow-diagnoser,version:0.1.0;catalog-updated:1784825263443,llm-workflow-diagnoser,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-23T19:54:57.514Z,2026-07-23T19:54:57.514Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:44c7d785eb6e899c0b916e363e836417da1f167403f60b1a9655449fe6ff5920,clawhub,https://clawhub.ai/api/v1/skills/unified-research-finder,version:0.1.0;catalog-updated:1784695249674,unified-research-finder,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-22T08:54:07.285Z,2026-07-22T08:54:07.285Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:5459e70e7f29f3b73e95593606e6f50eb78db626f64226ce7bb3b4bfbbf09efc,clawhub,https://clawhub.ai/api/v1/skills/ai-delivery-spec,version:0.1.23;catalog-updated:1785052928659,ai-delivery-spec,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-26T08:51:32.856Z,2026-07-26T08:51:32.856Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:552548fcb7fb1e96ebc9c2704120b8dc94ba0b6bd67327ea7f39e9352ecb0dc4,clawhub,https://clawhub.ai/api/v1/skills/pm-master-2,version:0.1.0;catalog-updated:1784937004890,pm-master-2,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-25T03:48:02.111Z,2026-07-25T03:48:02.111Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:59f34624605f1a27894b5ecb262c7a8e7e030bff82ba53b0d84055681b983234,clawhub,https://clawhub.ai/api/v1/skills/emoji-translator,version:1.0.0;catalog-updated:1784746954031,emoji-translator,rejected: hosted ZIP rejected: extracted archive contains no regular SKILL.md,2026-07-22T19:54:48.903Z,2026-07-22T19:54:48.903Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:5b7e55f738944004c3afc0100207046728bda983ebe5c57942ca256ae54fd22a,clawhub,https://clawhub.ai/api/v1/skills/folder-icon,version:0.1.0;catalog-updated:1784695339182,folder-icon,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-22T08:54:07.285Z,2026-07-22T08:54:07.285Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
