schema_version,rejection_id,platform_id,source_url,source_revision,source_path,reason,first_seen_at,last_seen_at,adapter_version
1,rejection:v1:028013be391d14adc3f1d7347b3228f7efd864b1f7dbafe7d60e0c63f02e49b4,clawhub,https://clawhub.ai/api/v1/skills/ucap-sensitive-check,version:1.0.1;catalog-updated:1784845197330,ucap-sensitive-check,rejected: hosted ZIP rejected: extracted archive contains no regular SKILL.md,2026-07-24T03:52:16.774Z,2026-07-24T03:52:16.774Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:125a6fd78aa193e458ea662542b62b53fcc02702435fdae32406f58302dc9aa5,clawhub,https://clawhub.ai/api/v1/skills/catalyst-search-skill,version:0.1.0;catalog-updated:1784825844831,catalyst-search-skill,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-23T19:54:57.514Z,2026-07-23T19:54:57.514Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:2210ded3ef8b0d7b727d221d4654ce728e45b9c74ec580b86f66709224005be1,clawhub,https://clawhub.ai/api/v1/skills/health-metrics,version:0.1.0;catalog-updated:1784705897025,health-metrics,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-22T08:54:07.285Z,2026-07-22T08:54:07.285Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:3e98c4aa148d7819fb19786a391223ff38e4b733d4fe31279d8902afe07a25e0,clawhub,https://clawhub.ai/api/v1/skills/llm-workflow-diagnoser,version:0.1.0;catalog-updated:1784825263443,llm-workflow-diagnoser,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-23T19:54:57.514Z,2026-07-23T19:54:57.514Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:44c7d785eb6e899c0b916e363e836417da1f167403f60b1a9655449fe6ff5920,clawhub,https://clawhub.ai/api/v1/skills/unified-research-finder,version:0.1.0;catalog-updated:1784695249674,unified-research-finder,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-22T08:54:07.285Z,2026-07-22T08:54:07.285Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:59f34624605f1a27894b5ecb262c7a8e7e030bff82ba53b0d84055681b983234,clawhub,https://clawhub.ai/api/v1/skills/emoji-translator,version:1.0.0;catalog-updated:1784746954031,emoji-translator,rejected: hosted ZIP rejected: extracted archive contains no regular SKILL.md,2026-07-22T19:54:48.903Z,2026-07-22T19:54:48.903Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:5b7e55f738944004c3afc0100207046728bda983ebe5c57942ca256ae54fd22a,clawhub,https://clawhub.ai/api/v1/skills/folder-icon,version:0.1.0;catalog-updated:1784695339182,folder-icon,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-22T08:54:07.285Z,2026-07-22T08:54:07.285Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:6008ecd80603e39e98f296777abe6a55505cb9d711002827a9d38a3f4df309d5,clawhub,https://clawhub.ai/api/v1/skills/domain,version:3.1.1;catalog-updated:1784793799706,domain,rejected: hosted ZIP rejected: extracted archive contains no regular SKILL.md,2026-07-23T08:52:54.161Z,2026-07-23T08:52:54.161Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:741091a8e64bb2b652051188ade9c2d678622ff416131c909e18f8375ff4e08d,clawhub,https://clawhub.ai/api/v1/skills/ai-delivery-spec,version:0.1.22;catalog-updated:1784740865800,ai-delivery-spec,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-22T19:54:48.903Z,2026-07-22T19:54:48.903Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:b0fb03a5ede1b718122fffd4ad06d6ebd54c57b492a85f52b7a38f87c971e35f,clawhub,https://clawhub.ai/api/v1/skills/llm-workflow-diagnoser,version:0.1.0;catalog-updated:1784856640273,llm-workflow-diagnoser,rejected: hosted ZIP rejected: ZIP output parent collides with a file,2026-07-24T03:52:16.774Z,2026-07-24T03:52:16.774Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
1,rejection:v1:e1b3cc1d8825732df40634d257a0cc5c5f4668e7d22a328fa51e8352c4239d96,clawhub,https://clawhub.ai/api/v1/skills/ai-agent-helper-free,catalog-updated:1784864073431,ai-agent-helper-free,rejected: version-less catalog item returned ZIP bytes,2026-07-24T03:52:16.774Z,2026-07-24T03:52:16.774Z,skill-ingest/v1;files=4096;bytes=67108864;file-bytes=16777216;depth=32
