schema_version,assessment_id,run_id,skill_id,verdict,risk_score,max_severity,confidentiality_findings,integrity_findings,behavioral_findings,unknown_platform_interaction,unknown_platform_count,coverage_state,policy_version,analyzer_version,assessed_at
1,assessment:v1:00f725317b89c0e5dfb20cd88e22f3dc26e67dbfa8895c569ffaa17575aaf8f2,run_608ef10a0a61e8b73a84a016,sha256:v1:0a625a5d613e80a55495c0050a34da02a9e0ceb9f2e36703b028355d6140a946,benign,0.0,none,0,0,0,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-08-01T00:46:53.687969126+00:00
1,assessment:v1:00fffd6118e206c8ffdee0d8cbd75822e7c7590f815dd6bfe6da85e4181a1442,run_f15c19c4d62443c765545984,sha256:v1:ddfdc36b29b870328ffdcd8c43bead736ffe4358fcf55178a4481263b5d0c4de,unknown,0.0,none,0,0,0,false,0,phase_unknown,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-14T17:26:13.884422764+00:00
1,assessment:v1:01e514cf02b8d05cb6d86cecb6835959813b83aef10e62747fc6fd9c77e472b9,run_152ee9eb6b574294f101ad0a,sha256:v1:0b165205ff0706094af50832693ce71f57bb0e9c10351b4ee98dde4e29135c5e,suspicious,50.0,medium,0,0,14,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-31T19:47:07.743367551+00:00
1,assessment:v1:026d4cf9c010c63bae286a3d79737ae3ca789c717f0d15d4dad8358348144a50,run_6c26a43f4aaac97139537f71,sha256:v1:00bb04fef3d5e79b3cb37a036e0802b9667ada0bcba51f7ddae4bf84e9d2188e,suspicious,50.0,medium,0,0,54,false,0,partial,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-31T15:39:03.662361378+00:00
1,assessment:v1:0346e3b4acef2b2802361e012f863b50e4e86382be39ce15b2372326a754fa61,run_fcc6ab671ef4a6b040b27d31,sha256:v1:049b85cdcaacb7b8f43332cb88fc2a0b9cb7d13e21959a71e100152924df5604,suspicious,50.0,medium,0,0,14,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-31T19:47:21.232625704+00:00
1,assessment:v1:0373e7022d00dfd2e56bca01e8c61b68868c48bec511619db2a5f23a795be79e,run_ccb7a3fb3833afbc09badff4,sha256:v1:0176833e114050ea78f6d31731fff6521a61688c1a9d614683413231e75333a9,benign,0.0,none,0,0,0,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-31T15:26:42.170204385+00:00
1,assessment:v1:04135ae94ef3d0fd39d1f5f18e7ba69cf6efbf566e4c454edc7734f89df45f91,run_57debb1b2b701fc4d3dc9b19,sha256:v1:ddfdc36b29b870328ffdcd8c43bead736ffe4358fcf55178a4481263b5d0c4de,unknown,0.0,none,0,0,0,false,0,phase_unknown,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-14T20:38:23.452518052+00:00
1,assessment:v1:042a0b27dfefb2be8da1d44249598280204c84f1ffbca4e4e651132c7169ed82,run_557047f4a9c457d48c17ffc0,sha256:v1:0cf5ae9575a097ec88dff4b99d5610c2684f470c1424dc3a72f61d40d5324aeb,benign,0.0,none,0,0,0,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-31T20:09:08.331161905+00:00
1,assessment:v1:047774d39f5349fdf221d0a09a85f10e8a6c083e087ee95c036435ad3823d9d4,run_028d694ee2657fe22d62817a,sha256:v1:00403f895f189fb5bb74336376f2b65cf07e5f212ea8c7e1b972243b1342b6dc,unknown,0.0,none,0,0,0,false,0,phase_unknown,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-28T19:34:41.507824323+00:00
1,assessment:v1:04f6147e79a6712391088d326e7c3c98159fb7d78617d96064b6d7c958bac99a,run_ee887d9b52aacce9c5487dd3,sha256:v1:0b13d7a9db9a1b3d4817e7dd3cd5219d94d63b4fb556c45d8625c97e7dbebd44,benign,0.0,none,0,0,0,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-08-01T00:58:08.760326475+00:00
1,assessment:v1:06d915142917cbf59edcbf2bacecc9d71255ca45a941f0a3b2ff4521c4274dd8,run_89cefc6369bd558741443dc6,sha256:v1:0ee03fbb10a2d884fb20b617e042bdc9a1743d4081ae79a0eb40fb0c2543f6b3,benign,0.0,none,0,0,0,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-08-01T00:46:59.601687443+00:00
1,assessment:v1:0711e31eb03441d258ce073a3289ba50b4ae45399910309ecf90b469dcddb4de,run_2ff535adbfb8553af4fd39db,sha256:v1:020c2fdf7f74e79a31fdc46d90818d9e9418b53d17e8786002fd83af2b0543ff,suspicious,50.0,medium,0,0,27,false,0,partial,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-31T15:39:12.334059098+00:00
1,assessment:v1:078f53fc0ecccc0672e993b50a5d1eff8506b34c016b2f0d23c4ef52fb37ba13,run_3e42686b9a8143a586d6e72a,sha256:v1:0c04a7ffa7aa9c5c977f938cfda54827a32f55441006a5f5e9bb2e7c8e6489a4,suspicious,50.0,medium,0,0,31,false,0,partial,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-08-01T00:59:07.734214957+00:00
1,assessment:v1:07d3345942ebc25829c007585bafcb9be2a4d9c0cdeafae6aa0c7daa1a71767c,run_010950d84b24536b96dd4893,sha256:v1:010a24a499d5b147a9dc74b24eef7247c13c41bb6c57ce853381c82105453378,malicious,100.0,critical,0,1,25,false,0,partial,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-07-31T15:26:16.652825019+00:00
1,assessment:v1:0830b9365a6ec100bb657e2faee7e79a40432e3bbfed7f43f7ef1fda73cfd18c,run_26e6f115e027b7e8c28408e3,sha256:v1:0f18381acf4b11bf4de631b7756acf052af5a40633ef393b3d3e2853b3c048fd,malicious,80.0,high,0,1,12,false,0,partial,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-08-01T00:47:11.146151686+00:00
1,assessment:v1:0882dc150a8ba439dde7fa5bc217f3edecc3664070e12b2b07c51adabd88a02d,run_36df1e01590ab42f39839ad1,sha256:v1:0ffbf87f2ea66cb051ed456e8135bf3d340f45e12919d80e0a1cb502603d6121,suspicious,50.0,medium,0,0,1,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-08-01T00:47:20.364756089+00:00
1,assessment:v1:094feb32b7a136e6f1d1b0c1ad1af7448c08a1ea20ddfed5159d2e9a2ba22738,run_3f4c73941a19d9b82538b7fa,sha256:v1:1094611f7e58b674420e682626d8e0a224ac5b58731a2b60c786971c00e1f0f3,benign,0.0,none,0,0,0,false,0,complete,skilldetonate-v3-rules,0.1.0+deterministic-rules-v3.platform-discovery-v2,2026-08-01T00:59:32.404044898+00:00
